,Class,Count
0,1,2.57
1,1,2.49
2,1,2.68
3,1,2.65167
4,1,2.21333
5,1,2.53333
6,1,2.53833
7,1,2.36333
8,1,2.56333
9,1,2.37833
10,2,4.51833
11,2,4.58
12,2,4.925
13,2,4.71833
14,2,4.57167
15,2,4.55
16,2,4.73667
17,2,4.49333
18,2,4.63167
19,2,4.74667
20,3,4.53167
21,3,4.85667
22,3,4.74333
23,3,4.69333
24,3,4.63167
25,3,4.68833
26,3,4.73833
27,3,4.60333
28,3,4.585
29,3,4.61667
30,4,3.84667
31,4,4.22667
32,4,4.20333
33,4,4.05333
34,4,3.97
35,4,4.075
36,4,3.93333
37,4,4.15333
38,4,3.95333
39,4,4.33833
40,5,1.75333
41,5,1.80833
42,5,1.91833
43,5,1.89333
44,5,1.82333
45,5,1.855
46,5,1.79667
47,5,1.97167
48,5,1.81
49,5,1.95333
